"","FIPS","Area","STATE","IS_D","tmp","prec","POPULATION","ST_AAP_TOT_TOT","ST_POPULATION","ST_GR_INCOME_PC"
"169","13059","Clarke, GA","GEORGIA",0,62.3333333333333,3.26666666666667,118313,45930.5286747479,9805488,3.16884706047045
"170","13065","Clinch, GA","GEORGIA",0,67.7083333333333,3.61333333333333,6736,45930.5286747479,9805488,3.16884706047045
"171","13067","Cobb, GA","GEORGIA",0,61.8833333333333,3.7275,697027,45930.5286747479,9805488,3.16884706047045
"172","13075","Cook, GA","GEORGIA",0,66.575,3.20416666666667,17030,45930.5286747479,9805488,3.16884706047045
"173","13077","Coweta, GA","GEORGIA",0,62.4333333333333,3.53583333333333,128953,45930.5286747479,9805488,3.16884706047045
"174","13085","Dawson, GA","GEORGIA",0,59.4333333333333,4.735,22328,45930.5286747479,9805488,3.16884706047045
"175","13089","DeKalb, GA","GEORGIA",0,62.3083333333333,3.4225,698735,45930.5286747479,9805488,3.16884706047045
"176","13091","Dodge, GA","GEORGIA",0,66.1083333333333,2.79666666666667,21528,45930.5286747479,9805488,3.16884706047045
"177","13093","Dooly, GA","GEORGIA",0,65.575,2.92833333333333,14316,45930.5286747479,9805488,3.16884706047045
"178","13099","Early, GA","GEORGIA",0,66.5083333333333,3.335,10890,45930.5286747479,9805488,3.16884706047045
"179","13105","Elbert, GA","GEORGIA",0,62.3916666666667,3.16166666666667,19859,45930.5286747479,9805488,3.16884706047045
"180","13109","Evans, GA","GEORGIA",0,67.0083333333333,2.93166666666667,10999,45930.5286747479,9805488,3.16884706047045
"181","13111","Fannin, GA","GEORGIA",0,57.0333333333333,4.9225,23523,45930.5286747479,9805488,3.16884706047045
"182","13113","Fayette, GA","GEORGIA",0,62.675,3.50083333333333,107579,45930.5286747479,9805488,3.16884706047045
"183","13115","Floyd, GA","GEORGIA",1,61.7583333333333,4.36,96178,45930.5286747479,9805488,3.16884706047045
"184","13117","Forsyth, GA","GEORGIA",0,60.875,4.23916666666667,182008,45930.5286747479,9805488,3.16884706047045
"185","13119","Franklin, GA","GEORGIA",0,61.8583333333333,3.52583333333333,21974,45930.5286747479,9805488,3.16884706047045
"186","13123","Gilmer, GA","GEORGIA",0,57.8083333333333,4.805,28270,45930.5286747479,9805488,3.16884706047045
"187","13129","Gordon, GA","GEORGIA",1,61.2416666666667,4.43416666666667,55399,45930.5286747479,9805488,3.16884706047045
"188","13131","Grady, GA","GEORGIA",0,67.2083333333333,3.09916666666667,25314,45930.5286747479,9805488,3.16884706047045
"189","13133","Greene, GA","GEORGIA",0,63.0416666666667,3.0375,16069,45930.5286747479,9805488,3.16884706047045
